季度,季度均价_元每公斤,季末价格_元每公斤,季内最高_元每公斤,季内最低_元每公斤,交易日数,报告日期,猪价环比_%,猪价同比_%,四季均线,猪周期阶段,报告期,单季营业收入,单季归母净利润,营收同比_%,归母净利润同比_%,毛利率_%,净利率_%,摊薄ROE_%,单季经营现金流,单季自由现金流,单季营业收入_亿元,单季归母净利润_亿元,单季经营现金流_亿元,单季自由现金流_亿元,季末后复权收盘价,季内最高价,季内最低价,股价季度收益_%,股价年度收益_%
2018Q4,13.781428571428572,13.45,14.19,13.34,14,2018-12-31,3.866062628889466,-4.433471260163535,12.752857142857144,高位震荡,四季度,4206727628.12,170018047.82,45.7997823594,-69.2729678254,7.689567724511,4.228660204927,1.3835695701,637430088.08,-987249316.9799999,42.0672762812,1.7001804781999998,6.374300880800001,-9.872493169799998,213.525,226.845,164.277,14.91886655364494,-0.7806510071792006
2019Q1,13.354545454545455,15.84,15.84,11.79,11,2019-03-31,-3.097524430581333,0.03404834865510242,12.753993506493506,高位震荡,一季度,3048109324.17,-540937526.98,10.6180234005,-497.6385452295,-10.224719445549,-18.268429690973,-4.5007629337,-130492019.72,-1695867520.55,30.481093241700002,-5.4093752698,-1.3049201972,-16.9586752055,462.357,477.405,208.989,116.53530031612225,150.07815669199775
2019Q2,15.663846153846153,17.04,17.04,15.14,13,2019-06-30,17.292244855212857,47.611453425154046,14.017070429570431,上行期,二季度,4111755402.79,385235655.35,49.1156065177,279.4354036145,14.69170750308,9.905290412062,3.2403201891,1541581504.91,-218673132.87000012,41.1175540279,3.8523565535000004,15.4158150491,-2.1867313287000014,429.813,542.565,385.965,-7.038716835691905,136.67465102833071
2019Q3,23.486428571428572,29.45,29.99,16.75,14,2019-09-30,49.94036803446027,77.00943325907093,16.57156218781219,上行期,三季度,4573423986.83,1542614540.15,24.6682516503,259.7125089137,41.694658343097,35.072000656816,10.0894877431,3314741338.7599998,782865645.1499996,45.7342398683,15.426145401500001,33.1474133876,7.828656451499996,514.485,604.341,423.909,19.699729882530328,176.89513199321868
2019Q4,36.318333333333335,34.35,41.5,33.09,12,2019-12-31,54.63540241071338,163.53097681489928,22.20578837828838,上行期,四季度,8488043811.85,4727450994.33,101.7730778459,2680.5583318631,59.741586357043,57.516517352612,22.6969851755,5263064526.96,-2000029913.459999,84.88043811850001,47.2745099433,52.6306452696,-20.00029913459999,646.173,752.805,521.685,25.596081518411616,202.62170706006324
2020Q1,37.04636363636364,35.13,39.16,35.13,11,2020-03-31,2.00458070679721,177.40639891082367,28.128742923742923,高位震荡,一季度,8069942791.11,4131391734.25,164.7524065859,863.7465563381,64.528647573519,56.318876809223,16.3111275378,4384756332.22,-3419907608.04,80.6994279111,41.3139173425,43.8475633222,-34.1990760804,886.797,1014.309,536.157,37.23832472108863,91.79919412921184
2020Q2,32.28846153846154,35.28,35.28,28.01,13,2020-06-30,-12.843101537857493,106.13367382016405,32.28489676989677,高位震荡,二季度,12962911833.8,6652641104.85,215.2646634818,1626.9017061273,61.069625744877,55.644323316249,21.8581223283,6755854392.7300005,-3428795401.6799974,129.62911833799998,66.52641104850001,67.55854392730001,-34.28795401679997,1014.525,1015.994,808.648,14.403296357565477,136.03869589798356
2020Q3,36.994615384615386,33.72,38.39,33.72,13,2020-09-30,14.575342465753426,57.51486128299486,35.661943473193475,上行期,三季度,18131698952.87,10203795498.73,296.4578618795,561.4611254564,67.299898251391,62.451903432842,26.4500900873,7959570834.380001,-5738781357.549999,181.3169895287,102.0379549873,79.59570834380001,-57.38781357549999,916.605,1222.727,873.887,-9.65180749611887,78.15971311116942
2020Q4,31.260833333333334,34.63,34.63,28.89,12,2020-12-31,-15.498963813167544,-13.925473819466749,34.39756847319347,下行期,四季度,17112512030.07,6463593602.9,101.607253796,36.7247087416,51.554009889359,42.618833701648,13.7172365103,4085569636.66,-10297551981.09,171.1251203007,64.63593602899999,40.8556963666,-102.9755198109,954.549,1013.179,839.126,4.1396239383376665,47.72344248366922
2021Q1,31.818181818181817,26.56,36.43,26.56,11,2021-03-31,1.7828970805272348,-14.112537115653613,33.09052301864802,低位筑底,一季度,20152096045.72,6963072000.64,149.7179542328,68.5405899159,45.880109988726,39.943041499644,12.7806163565,4755828247.31,-9735685648.14,201.5209604572,69.6307200064,47.55828247310001,-97.35685648139999,1235.212,1614.285,989.923,29.40268126623149,39.28914960244565
